Make,Ex-Showroom_Price
Aston Martin,36267442.0
Audi,7240430.645161291
Bajaj,273000.0
Bentley,40565854.333333336
Bmw,8256216.216216216
Bugatti,202149167.0
Datsun,450907.6666666667
Dc,3407407.0
Ferrari,42872495.625
Fiat,779556.3478260869
Force,1150500.0
Ford,1123853.8139534884
Honda,1206136.5625
Hyundai,987476.5461538462
Icml,970082.9090909091
Isuzu,2225392.8
Jaguar,10464503.045454545
Jeep,3203428.0714285714
Kia,1701142.857142857
Lamborghini,39053919.23076923
Land Rover,8457079.8
Land Rover Rover,16456465.74074074
Lexus,15015300.0
Mahindra,1105725.4201680673
Maruti Suzuki,688808.3624161074
Maruti Suzuki R,515128.71428571426
Maserati,15696889.888888888
Mg,1610307.6923076923
Mini,3792000.0
Mitsubishi,3456192.8571428573
Nissan,1695369.1724137932
Porsche,15346000.0
Premier,637603.8333333334
Renault,801107.75
Skoda,1973879.465116279
Tata,937114.57
Toyota,1653056.0975609757
Volkswagen,1321923.5294117648
Volvo,5834750.0
