Make,ev_price
Aiways ,30035481.0
Audi ,67134524.33333333
BMW ,44270409.75
Byton ,49841166.666666664
CUPRA ,37485000.0
Citroen ,33320000.0
DS ,31172526.0
Fiat ,30321200.0
Ford ,45455768.75
Honda ,28704347.0
Hyundai ,30328141.666666668
Jaguar ,62767383.0
Kia ,29873379.2
Lexus ,41650000.0
Lightyear ,124117000.0
Lucid ,87465000.0
MG ,24990000.0
Mazda ,27194118.0
Mercedes ,51400265.0
Mini ,26390273.0
Nissan ,38236470.125
Opel ,29447105.333333332
Peugeot ,26673909.5
Polestar ,47014520.0
Porsche ,115175411.4
Renault ,26046410.6
SEAT ,16767457.0
Skoda ,31866970.333333332
Smart ,18876335.333333332
Sono ,21241500.0
Tesla ,66866832.307692304
Volkswagen ,28823778.375
Volvo ,50344021.0
